"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170326","AT 2025dz","07:01:58.419","-23:22:08.40","CV","","","","ZTF","ZTF","SCAT","ZTF","ZTF25aaasauw","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.0567","g-ZTF","2025-01-05 08:07:11.003","Fritz","","","2025TNSTR..77....1W","2025TNSCR..99....1H","",""
"169086","AT 2024afby","08:35:45.218","-20:59:31.51","CV","0","","","GOTO, ATLAS","GOTO, ATLAS","ePESSTO+","ATLAS, GOTO","GOTO24jmt","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","18.76","L-GOTO","2024-12-27 17:04:41.376","GOTO_bot","","","2024TNSTR5092....1K","2024TNSCR5143....1K","",""
"169005","AT 2024aeyw","08:02:03.118","-46:58:06.66","CV","0","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS24rvd","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.652","cyan-ATLAS","2024-12-25 22:31:05.664","ATLAS_Bot1","","","2024TNSTR5077....1T","2024TNSCR5099....1V","",""
"168075","AT 2024adpm","07:00:22.130","-06:56:03.70","CV","0","","","XOSS","XOSS","ePESSTO+","XOSS","KATS24X009","Other - Other","ESO-NTT - EFOSC2-NTT","1","1","","18.01","Clear-","2024-12-05 20:29:43.008","Mi Zhang","","","2024TNSTR4810....1Z","2024TNSCR5036....1V","",""
"167065","AT 2024aceb","07:19:58.111","-53:41:26.22","CV","0","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS24qoe","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","17.871","orange-ATLAS","2024-11-24 00:10:22.944","ATLAS_Bot1","","","2024TNSTR4621....1T","2024TNSCR4687....1G","",""
"166655","AT 2024aboj","01:43:45.130","+29:26:56.80","CV","0","","","XOSS","XOSS","XOSS","XOSS","KATS24W001","Other - Other","Other - Other","1","1","","16.55","Clear-","2024-11-18 19:03:17.280","Mi Zhang","","","2024TNSTR4556....1Z","2024TNSCR4576....1Z","",""
"166567","AT 2024ablc","23:03:13.162","-53:08:12.60","CV","0","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS24qfy","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.704","orange-ATLAS","2024-11-18 01:46:20.640","ATLAS_Bot1","","","2024TNSTR4527....1T","2024TNSCR4573....1G","",""
"166191","AT 2024aawt","20:57:51.500","-41:38:39.12","CV","0","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS, GaiaAlerts","ATLAS24qcz","ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","17.539","orange-ATLAS","2024-11-11 01:39:26.784","ATLAS_Bot1","","","2024TNSTR4432....1T","2024TNSCR4471....1T","",""
"165592","AT 2024zzz","03:42:26.300","+09:12:19.37","CV","0","","","ZTF, ATLAS","ZTF, ATLAS","SCAT","ATLAS, ZTF","ZTF24abqbavo","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.0656","g-ZTF","2024-11-02 09:36:21.997","Fritz","","","2024TNSTR4283....1R","2024TNSCR4313....1H","",""
"164855","AT 2024yyc","22:12:43.310","+43:55:39.90","CV","0","","","GaiaAlerts, ZTF","GaiaAlerts, ZTF","ZTF","GaiaAlerts, ZTF","Gaia24dan","Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.28","G-Gaia","2024-10-18 02:19:40.800","Gaia_Bot1","","","2024TNSTR4117....1H","2024TNSCR4160....1W","",""
"163206","AT 2024xhn","06:50:54.420","+59:36:25.50","CV","0","","","MASTER","MASTER","None","MASTER","MASTER OT J065054.42+593625.5","Other - Other","Other - Other","1","1","","13.6","Clear-","2024-10-04 16:16:52.032","MASTER","","","2024TNSTR3858....1T","2024TNSCR3974....1L","",""
"162862","AT 2024wuh","06:49:58.040","-23:03:39.86","CV","0","","","ATLAS","ATLAS","TCD","ATLAS","ATLAS24opo","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","LT - SPRAT","1","1","","17.964","orange-ATLAS","2024-09-23 02:15:19.008","ATLAS_Bot1","","","2024TNSTR3747....1T","2024TNSCR3947....1T","",""
"161463","AT 2024uvv","20:54:48.965","+10:23:26.55","CV","0","","","XOSS, ATLAS, GOTO, ZTF","XOSS, ATLAS, GOTO, ZTF","XOSS","ATLAS, GOTO, XOSS, ZTF","KATS24R007","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, Other - Other, P48 - ZTF-Cam","Other - Other","1","1","","14.55","Clear-","2024-09-06 17:53:47.616","Mi Zhang","","","2024TNSTR3361....1Z","2024TNSCR3411....1Z","",""
"160902","AT 2024uah","20:00:28.360","-03:00:34.44","CV","0","","","ATLAS, BlackGEM","ATLAS, BlackGEM","Padova-Asiago","ATLAS, BlackGEM","ATLAS24npi","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4","Ekar - AFOSC","1","1","","16.244","orange-ATLAS","2024-08-31 02:22:41.376","ATLAS_Bot1","","","2024TNSTR3196....1T","2024TNSCR3235....1R","",""
"159824","AT 2024slk","20:41:35.592","+21:30:30.46","CV","","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS, ZTF","ATLAS24neb","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.513","orange-ATLAS","2024-08-18 09:35:11.616","ATLAS_Bot1","","","2024TNSTR3017....1T","2024TNSCR3028....1H","",""
"159738","AT 2024sio","17:31:59.756","+05:40:02.67","CV","","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS, ZTF","ATLAS24nby","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","17.375","orange-ATLAS","2024-08-16 07:17:56.832","ATLAS_Bot1","","","2024TNSTR2961....1T","2024TNSCR3002....1H","",""
"159698","AT 2024shc","19:31:06.329","+00:00:18.76","CV","0","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS17krl","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","UH88 - SNIFS","1","1","","18.843","orange-ATLAS","2024-08-14 09:31:13.152","ATLAS_Bot1","","","2024TNSTR2961....1T","2024TNSCR2989....1H","",""
"159402","AT 2024rwq","18:17:45.468","+43:24:57.17","CV","0","","","ATLAS","ATLAS","SCAT, None","ATLAS","ATLAS24mrh","ATLAS-HKO - ATLAS-02","Other - Other, UH88 - SNIFS","1","1","","13.505","orange-ATLAS","2024-08-07 07:51:47.232","ATLAS_Bot1","","","2024TNSTR2850....1T","2024TNSCR2906....1H, 2024TNSCR2927....1S","",""
"159256","AT 2024rrb","01:44:07.857","+49:40:04.23","CV","0","","","GOTO","GOTO","LOSS","GOTO","GOTO24eqj","GOTO-N - GOTO-2","Lick-3m - KAST","1","1","","16.32","L-GOTO","2024-08-09 01:40:10.848","GOTO_bot","","","2024TNSTR2837....1G","2024TNSCR3972....1Z","",""
"159223","AT 2024rpu","20:11:58.550","-26:30:25.72","CV","","","","ZTF, GOTO","ZTF, GOTO","SCAT","GOTO, ZTF","ZTF24aaydryp","GOTO-N - GOTO-2, GOTO-S - GOTO-4, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","15.4289","g-ZTF","2024-08-02 08:02:40.001","Fritz","","","2024TNSTR2822....1P","2024TNSCR2866....1D","",""
"159088","AT 2024rkw","19:47:08.320","-09:24:19.80","CV","","","","XOSS","XOSS","None","XOSS","KATS24P002","Other - Other","Galileo - BC-Asi","1","1","","14.23","Clear-","2024-08-05 19:33:43.776","Mi Zhang","","","2024TNSTR2771....1X","2024TNSCR2790....1S","",""
"158620","AT 2024qty","21:16:15.530","+58:56:27.20","CV","","","","XOSS","XOSS","LiONS","XOSS","KATS24O014","Other - Other","Lijiang-2.4m - YFOSC","1","1","","16.01","Clear-","2024-07-31 19:40:17.760","Mi Zhang","","","2024TNSTR2687....1X","2024TNSCR3409....1L","",""
"158492","AT 2024qpc","19:19:59.000","-24:10:51.28","CV","0","","","ATLAS, GOTO","ATLAS, GOTO","SCAT","ATLAS, GOTO","ATLAS24mbb","ATLAS-CHL - ATLAS-04, GOTO-N - GOTO-1","UH88 - SNIFS","1","1","","16.961","cyan-ATLAS","2024-07-30 04:09:45.216","ATLAS_Bot1","","","2024TNSTR2655....1T","2024TNSCR2844....1H","",""
